,name,team,position,xP,cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
409,Dean Henderson,MUN,GKP,2.8,45,82,1620,0,0,6,31,0,2,0,2,0,54,12,367,474.4,0.0,0.0,47.5,18,0.00,0.01,0.01,26.97
410,Victor Lindelöf,MUN,DEF,2.5,45,57,1359,0,0,6,16,0,0,0,1,0,0,3,327,280.4,54.7,19.0,35.6,14,0.25,0.39,0.64,19.97
411,Harry Maguire,MUN,DEF,2.5,45,39,762,0,0,5,7,0,0,0,4,0,0,2,201,193.0,20.8,55.0,26.9,8,0.34,0.04,0.38,10.79
412,Kobbie Mainoo,MUN,MID,1.5,45,1,10,0,0,0,0,0,0,0,0,0,0,0,2,5.8,0.8,6.0,1.3,0,0.00,0.07,0.07,0.25
413,Tyrell Malacia,MUN,DEF,2.5,45,62,1391,0,0,7,14,0,0,0,6,0,0,8,287,223.6,148.8,79.0,45.3,14,0.23,0.71,0.94,19.21
414,Anthony Martial,MUN,FWD,2.7,65,66,970,6,3,7,8,0,0,0,0,0,0,4,230,305.6,179.5,376.0,85.5,11,6.03,1.46,7.49,13.57
415,Lisandro Martínez,MUN,DEF,2.8,50,81,2113,1,0,9,33,0,0,0,6,0,0,6,481,571.8,110.4,82.0,76.7,24,0.46,1.02,1.48,32.52
416,Scott McTominay,MUN,MID,2.1,50,36,1149,1,0,4,20,0,0,0,8,0,0,2,146,247.0,123.2,156.0,52.2,10,1.96,0.99,2.95,22.38
417,Teden Mengi,MUN,DEF,1.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
418,Facundo Pellistri Rebollo,MUN,MID,1.5,45,4,60,0,0,0,1,0,0,0,0,0,0,0,14,7.4,1.8,2.0,1.0,0,0.00,0.02,0.02,0.78
419,Raphaël Varane,MUN,DEF,2.8,50,77,1912,0,0,10,22,1,0,0,1,0,0,2,392,387.0,74.0,124.0,58.8,22,0.75,0.51,1.26,27.27
420,Marcus Rashford,MUN,MID,3.5,90,205,2880,17,7,13,39,0,0,0,2,0,0,21,530,892.2,462.5,1466.0,282.2,32,15.27,2.86,18.13,43.46
421,Jadon Sancho,MUN,MID,3.0,70,105,1683,6,3,13,18,0,0,0,0,0,0,8,375,433.8,571.6,426.0,143.2,21,4.02,4.13,8.15,24.95
422,Luke Shaw,MUN,DEF,3.1,55,124,2552,1,4,12,35,0,0,0,8,0,0,20,626,572.8,547.7,118.0,124.2,30,1.09,2.90,3.99,37.85
423,Shola Shoretire,MUN,FWD,1.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
424,Donny van de Beek,MUN,MID,2.1,50,8,162,0,0,0,3,0,0,0,0,0,0,0,21,11.2,40.2,54.0,10.5,2,0.10,0.14,0.24,1.58
425,Aaron Wan-Bissaka,MUN,DEF,2.5,45,67,1432,0,0,8,10,0,0,0,2,0,0,3,308,290.4,221.9,143.0,65.5,16,1.19,0.91,2.10,19.17
426,André Onana,MUN,GKP,3.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
